Object-Id,City,Zip,Monthly Rent by €,Shortest Rental Period By Months,Available From,Vacant Until,Property Size By m²,Rooms,Floor,Number Of Floors,Deposit By Monthly Rents,Final Cleaning,Car Parking Space,Energy Index By kWh/m²a,Energy Pass Type,Energy Pass Year,Energy Pass Valid Until,Energy Consumption Parameter By kWh/m²a,Primary Energy Carrier
18416,Cologne,50931,845.5,3,07/10/2020,01/01/2100,26.00,1,,4.0,1-2,Varies depending on effort,no,98.45,Consumption,2014.0,13/05/2029,98.45,Gas
18414,Cologne,50931,845.5,3,07/10/2020,01/01/2100,25.00,1,,4.0,1-2,Varies depending on effort,no,98.45,Consumption,2014.0,13/05/2029,98.45,Gas
18856,Cologne,50672,930.0,3,20/10/2020,01/01/2100,28.00,1,4,,1-2,Varies depending on effort,no,189.00,Consumption,2013.0,30/09/2021,189.00,Gas
18394,Cologne,50827,1650.0,3,01/07/2021,01/01/2100,75.00,3,2,,2,Varies depending on effort,yes,211.00,Demand,2013.0,30/09/2020,,Gas
18507,Bonn,53121,990.0,3,07/10/2020,01/01/2100,35.00,1,Ground floor,3.0,2,Varies depending on effort,no,128.00,Consumption,2013.0,30/09/2021,128.00,Gas
17460,Cologne,50674,1480.0,3,01/11/2020,01/01/2100,55.00,2,3,,1,Varies depending on effort,no,144.00,Consumption,2013.0,30/09/2021,144.00,Gas
13003,Cologne,50674,965.0,3,01/11/2020,01/01/2100,30.00,1,4,,2,Varies depending on effort,no,159.00,Consumption,2013.0,30/09/2021,159.00,Gas
18567,Bonn,53175,915.0,3,01/12/2020,01/01/2100,37.00,2,Ground floor,,1-2,Varies depending on effort,no,144.00,Demand,2014.0,27/04/2029,,Gas
81068,Bonn,53115,0.0,3,07/10/2020,01/01/2100,35.00,1,Ground floor,,2,Varies depending on effort,no,,,1.0,nan,,
19172,Cologne,50735,1100.0,3,07/10/2020,01/01/2100,34.00,1,34,45.0,1-2,Varies depending on effort,yes,,Consumption,2014.0,13/05/2028,,Long-distance Heating
18518,Bonn,53227,900.0,3,01/11/2020,01/01/2100,45.00,1,Ground floor,,1,Varies depending on effort,yes,88.00,Consumption,2014.0,10/09/2028,88.00,Long-distance Heating
15829,Pulheim,50259,1100.0,3,01/11/2020,01/01/2100,68.00,3,,,2,Varies depending on effort,yes,114.00,Consumption,2013.0,01/03/2018,114.00,Gas
17526,Cologne,50672,1490.0,6,07/10/2020,01/01/2100,44.00,2,Ground floor,,1-2,Varies depending on effort,yes,101.00,Demand,2013.0,30/09/2021,,Long-distance Heating
11561,Cologne,50672,1130.5,2,07/10/2020,01/01/2100,26.00,1,2,4.0,1-2,Varies depending on effort,no,173.00,Consumption,2013.0,15/02/2018,173.00,Long-distance Heating
17131,Bonn,53115,1800.0,3,01/02/2021,01/01/2100,91.00,2,,3.0,1-2,Varies depending on effort,no,142.00,Demand,2013.0,30/09/2021,,Gas
19170,Cologne,50672,1640.0,3,07/10/2020,01/01/2100,48.00,2,1,5.0,1-2,Varies depending on effort,no,145.00,Consumption,2013.0,30/09/2021,145.00,Gas
17268,Cologne,50737,720.0,3,28/02/2021,01/01/2100,23.00,1,2,4.0,2,Varies depending on effort,yes,159.00,Consumption,2013.0,30/09/2021,159.00,Gas
