Zip,City,Object-ID,Rent,Property Size,Rooms,Energy index,Energy class,Shortest rental period,Number of Floors,Max. Number of People,Car parking space,Available from,Vacant until,Final cleaning,Deposit, Energy Pass Type, Energy Pass valid until, Energy Consumption Parameter, Primary Energy Carrier, Energy Pass Year,Floor, Final Energy Requirement, Energy Consumption Parameter (Heating), Year of construction, Energieausweis-Art, Engergieausweis gültig bis, Energieverbrauchskennwert, Primärenergieträger, Energieausweis-Jahrgang, Endenergiebedarf
50931,Cologne,18416,"890 € per month (incl. VAT 5%), plus electricity, incl. heating","26,00 m2",1,98.45 kWh/m²a,C,3 Mon.,4,2,n/a,immediately,Not limited,Varies depending on effort,1-2 monthly rent,Consumption,13.05.2029,"98,45 kWh/(m²*a)",Gas,as from may 2014,,,,,,,,,,
50931,Cologne,18416,"890 € per month (incl. VAT 5%), plus electricity, incl. heating","26,00 m2",1,98.45 kWh/m²a,C,3 Mon.,4,2,n/a,immediately,Not limited,Varies depending on effort,1-2 monthly rent,Consumption,13.05.2029,"98,45 kWh/(m²*a)",Gas,as from may 2014,,,,,,,,,,
50931,Cologne,18414,"890 € per month (incl. VAT 5%), plus electricity, incl. heating","25,00 m2",1,98.45 kWh/m²a,C,3 Mon.,4,2,n/a,immediately,Not limited,Varies depending on effort,1-2 Monthly rent,Consumption,13.05.2029,"98,45 kWh/(m²*a)",Gas,as from may 2014,,,,,,,,,,
50672,Cologne,18856,"930 € per month, incl. electricity, incl. heating","28,00 m2",1,189.00 kWh/m²a,,3 Mon.,,2,n/a,20.10.2020,Not limited,Varies depending on effort,1-2 Monthly rents,Consumption,30.09.2021,"189,00 kWh/(m²*a)",Gas,before 2014,4,,,,,,,,,
50827,Cologne,18394,"1.650 € per month, incl. electricity, incl. heating","75,00 m2",3,211.00 kWh/m²a,,3 Mon.,,,yes,01.07.2021,Not limited,Varies depending on effort,2 Monthly rents,Demand,30.09.2020,,Gas,before 2014,2,"211,00 kWh/(m²*a)",,,,,,,,
53121,Bonn,18507,"990 € per month, plus electricity, incl. heating","35,00 m2",1,128.00 kWh/m²a,,3 Mon.,3,,n/a,immediately,Not limited,Varies depending on effort,2 Monthly rents,Consumption,30.09.2021,"128,00 kWh/(m²*a)",Gas,before 2014,Ground floor,,,,,,,,,
50674,Cologne,17460,"1.480 € per month, incl. electricity, incl. heating","55,00 m2",2,144.00 kWh/m²a,E,3 Mon.,,,n/a,01.11.2020,Not limited,Varies depending on effort,1 monthly rent,Consumption,30.09.2021,"144,00 kWh/(m²*a)",Gas,before 2014,3,,,,,,,,,
50674,Cologne,13003,"965 € per month, plus electricity, incl. heating","30,00 m2",1,159.00 kWh/m²a,,3 Mon.,,,n/a,01.11.2020,Not limited,Varies depending on effort,2 monthly rents,Consumption,30.09.2021,"159,00 kWh/(m²*a)",Gas,before 2014,4,,,,,,,,,
53175,Bonn,18567,"915 € per month, incl. electricity, incl. heating","37,00 m2",2,144.00 kWh/m²a,E,3 Mon.,,1,n/a,01.12.2020,Not limited,Varies depending on effort,1-2 Monthly rents,Demand,27.04.2029,,Gas,as from may 2014,Ground floor,"144,00 kWh/(m²*a)",,,,,,,,
53115,Bonn,81068,,"35,00 m2",1,,,3 Mon.,,,n/a,immediately,Not limited,Varies depending on effort,monthly rent 2,,,,,not required,Ground floor,,,,,,,,,
50735,Cologne,19172,"1.100 € per month, incl. electricity, incl. heating","34,00 m2",1,,E,3 Mon.,45,2,yes,immediately,Not limited,Varies depending on effort,1-2 Monthly rents,Consumption,13.05.2028,,Long-distance Heating,as from may 2014,34,,,,,,,,,
53227,Bonn,18518,"900 € per month, plus electricity, incl. heating","45,00 m2",1,88.00 kWh/m²a,C,3 Mon.,,2,yes,01.11.2020,Not limited,Varies depending on effort,1 Monatsmiete,Consumption,10.09.2028,"88,00 kWh/(m²*a)",Long-distance Heating,as from may 2014,Ground floor,,,,,,,,,
50259,Pulheim,15829,"1.100 € per month, plus electricity, incl. heating","68,00 m2",3,114.00 kWh/m²a,,3 Mon.,,,yes,01.11.2020,Not limited,Varies depending on effort,2 Monthly rents,Consumption,01.03.2018,"114,00 kWh/(m²*a)",Gas,before 2014,,,,,,,,,,
50672,Cologne,17526,"1.490 € per month, incl. electricity, incl. heating","44,00 m2",2,101.00 kWh/m²a,,6 Mon.,,,yes,immediately,Not limited,Varies depending on effort,1-2 Monthly rents,Demand,30.09.2021,,Long-distance Heating,before 2014,Ground floor,"101,00 kWh/(m²*a)",,,,,,,,
50672,Cologne,11561,"1.190 € per month (incl. VAT 5%), incl. electricity, incl. heating","26,00 m2",1,173.00 kWh/m²a,,2 Mon.,4,,n/a,immediately,Not limited,Varies depending on effort,1-2 Monthly rents,Consumption,15.02.2018,"173,00 kWh/(m²*a)",Long-distance Heating,before 2014,2,,,,,,,,,
